Species,Fire exposure (%),Metal exposure (%)
Anthurium_michelii,0.24,1.28
Anthurium_mindense,0.15,0.65
Anthurium_monzonense,1.9,0.32
Anthurium_obtusum,0.41,11.11
Anthurium_ottonis,2.08,2.17
Anthurium_oxycarpum,1.23,5.68
Anthurium_plowmanii,4.27,5.63
Anthurium_scandens,0.73,7.53
Anthurium_sinuatum,3.58,6.18
Anthurium_superbum,0,0.01
Anthurium_tarapotense,1.56,1.56
Anthurium_wurdackii,1.78,0.01
Antidaphne_amazonensis,0.32,0
Antonia_ovata,5.13,10.74
Apeiba_albiflora,2.3,12.44
Apeiba_glabra,0.98,15.42
Apeiba_schomburgkii,1.26,10.64
Apeiba_uittienii,0.24,0.34
Aphelandra_acrensis,3.19,1.32
Aphelandra_caput-medusae,2.43,1.74
Aphelandra_goodspeedii,1.51,2.33
Aphelandra_hylaea,1.48,3.41
Aphelandra_jacobinioides,2.94,1.79
Aphelandra_martiusii,0.08,0.54
Apinagia_digitata,0.26,3.55
Apinagia_platystigma,0,0.01
Apinagia_secundiflora,0.1,2.92
Appendicularia_thymifolia,0.2,3.41
Appunia_brachycalyx,0.14,4.28
Appunia_surinamensis,0.21,0.24
Aptandra_liriosmoides,0.3,10.42
Aptandra_tubicina,2.5,10.18
Apteria_aphylla,2,10.79
Apuleia_leiocarpa,5.8,13.3
Araeococcus_goeldianus,1.52,0.06
Araeococcus_micranthus,2.69,13.79
Ardisia_loretensis,1.24,2
Ardisia_nigrovirens,1.16,0.82
Ardisia_premontana,0,0.01
Ardisia_weberbaueri,1.99,4.66
Aristida_capillacea,4.79,11.3
Aristida_riparia,9.42,2.34
Aristida_torta,1.54,10.13
Aristolochia_disticha,1.88,1.4
Aristolochia_iquitensis,0.3,2.73
Aristolochia_ruiziana,0.63,2.57
Arthrostylidium_scandens,0.16,4.04
Arundinella_hispida,4.02,9.01
Aspasia_variegata,4.9,8.38
Aspidogyne_foliosa,0.74,8.16
Aspidosperma_album,3.89,11.57
Aspidosperma_carapanauba,4.91,9.43
Aspidosperma_cuspa,7.63,4.46
Aspidosperma_decussatum,0.97,1.55
Aspidosperma_discolor,6.61,1.6
Aspidosperma_excelsum,2.96,20.79
Aspidosperma_helstonei,0.15,3.84
Aspidosperma_multiflorum,10.34,5.47
Aspidosperma_parvifolium,3.11,9.82
Aspidosperma_rigidum,3.39,11.6
Aspidosperma_subincanum,10.3,4.01
Asplundia_alata,0.52,1.33
Asplundia_brachyphylla,0.3,0.01
Asplundia_cabrerae,0.53,0.07
Asplundia_cymbispatha,3.77,0
Asplundia_ecuadoriensis,1.12,1.21
Asplundia_gamotepala,0.61,2.66
Asplundia_glandulosa,0.08,7.39
Asplundia_guianensis,0.13,0.01
Asplundia_helicotricha,0,0
Asplundia_krukoffii,7.73,0
Asplundia_schizotepala,1.36,1.79
Asplundia_ulei,1.42,4.02
Asplundia_vagans,0.63,5.59
Asplundia_xiphophylla,0.57,7.31
Asterogyne_guianensis,0,0.01
Astraea_lobata,6.84,7.78
Astrocaryum_acaule,0.76,4.65
Astrocaryum_aculeatum,1.71,16.58
Astrocaryum_chambira,0.61,1.54
Astrocaryum_jauari,1.5,9.62
Astrocaryum_javarense,0.16,0.23
Astrocaryum_macrocalyx,0.23,0.09
Astrocaryum_paramaca,0.15,0
Astrocaryum_perangustatum,2.32,0
Astrocaryum_scopatum,0,0.01
Astrocaryum_sociale,0.73,0
Astrocaryum_vulgare,6.1,6.76
Astronium_lecointei,3.37,16.1
Astronium_ulei,0.89,6.35
Attalea_butyracea,1.32,2.42
Attalea_dahlgreniana,2.47,0
Attalea_insignis,0.6,0.8
Attalea_luetzelburgii,0.37,0.05
Attalea_maripa,3.4,13.67
Attalea_microcarpa,0.67,6.48
Attalea_phalerata,5.14,8.56
Attalea_speciosa,7.15,8.56
Averrhoidium_dalyi,3.69,1.58
Axonopus_brasiliensis,10.25,3.96
Axonopus_canescens,0.91,13.48
Axonopus_capillaris,2.5,7.59
Axonopus_compressus,2.4,14.13
Axonopus_eminens,1.49,1.86
Axonopus_flabelliformis,1.03,7.05
Axonopus_longispicus,0.27,14.39
Axonopus_oiapocensis,1,0.01
Axonopus_passourae,5.16,0
Axonopus_polydactylus,11.24,1.59
Axonopus_pubivaginatus,1.72,7.88
Ayenia_klugii,6.83,0
Bacopa_egensis,0.23,0.42
Bactris_acanthocarpa,2.38,17.76
Bactris_acanthocarpoides,2.72,4.97
Bactris_balanophora,0.28,0.7
Bactris_brongniartii,2.99,6.14
Bactris_campestris,0.73,7.18
Bactris_cuspidata,4.53,12.29
Bactris_gasipaes,2.38,11.18
Bactris_killipii,0.43,1.73
Bactris_macroacantha,0.79,4.34
Bactris_major,3.51,12.21
Bactris_oligocarpa,1.31,4.99
Bactris_ptariana,0.19,3.77
Bactris_simplicifrons,1.86,13.31
