Species,Fire exposure (%),Metal exposure (%)
Epidendrum_coronatum,2.77,8.04
Epidendrum_dichaeoides,0.23,0.07
Epidendrum_ibaguense,0.92,7.54
Epidendrum_longicolle,0.87,2.56
Epidendrum_macrocarpum,1.35,9.8
Epidendrum_microphyllum,0.53,6.51
Epidendrum_minus,0.09,0.94
Epidendrum_miserrimum,0.44,0.14
Epidendrum_nocturnum,2.23,20.64
Epidendrum_orchidiflorum,1.09,5.42
Epidendrum_paniculatum,1.59,10.65
Epidendrum_purpurascens,1.53,4.54
Epidendrum_ramosum,0.7,7.29
Epidendrum_rigidum,1.91,16.59
Epidendrum_spruceanum,0.44,0.01
Epidendrum_strobiliferum,2.3,18.67
Episcia_reptans,0.72,2.45
Epistephium_duckei,0.59,5.25
Epistephium_hernandii,0.16,0.86
Epistephium_parviflorum,1.85,11.81
Eragrostis_maypurensis,3.94,14.54
Eragrostis_scaligera,1.29,2.65
Eriosema_crinitum,4.26,8.22
Eriosema_violaceum,2.44,8.63
Eriotheca_globosa,2.85,18.19
Eriotheca_surinamensis,4.32,9.37
Erisma_japura,0.08,0.03
Erisma_nitidum,0.07,1.41
Erisma_splendens,0.49,3.01
Erisma_uncinatum,2.02,17.06
Ernestia_blackii,0.11,3.74
Ernestia_confertiflora,0.12,0.78
Ernestia_glandulosa,0.18,2.72
Ernestia_quadriseta,7.05,0.17
Ernestia_rubra,0.06,2.11
Erycina_pusilla,2.73,11.5
Eryngium_foetidum,1.46,9.62
Erythrina_poeppigiana,2.84,8.61
Erythrina_ulei,3.1,11.07
Erythrina_verna,9.39,0.79
Erythrochiton_brasiliensis,2.88,16.99
Erythrochiton_trichanthus,2.51,1.23
Erythroxylum_amazonicum,2.86,16.2
Erythroxylum_anguifugum,8.56,9.3
Erythroxylum_cataractarum,1.28,1.34
Erythroxylum_citrifolium,2.95,21.01
Erythroxylum_guanchezii,0.65,0.01
Erythroxylum_kapplerianum,1.24,9.39
Erythroxylum_leptoneurum,8.05,6.43
Erythroxylum_lineolatum,0.19,3.45
Erythroxylum_macrophyllum,2.61,19.98
Erythroxylum_mucronatum,2.63,17.1
Erythroxylum_orinocense,0.84,0.31
Erythroxylum_patens,2.03,1.13
Erythroxylum_pruinosum,12.94,1.1
Erythroxylum_roraimae,3.23,9.24
Erythroxylum_ruryi,3.99,3.33
Erythroxylum_shatona,6.85,0.15
Erythroxylum_spruceanum,0.6,1.14
Erythroxylum_squamatum,3.93,17.51
Erythroxylum_subracemosum,11.26,42.86
Erythroxylum_vernicosum,1.9,2.4
Erythroxylum_williamsii,0.77,0.59
Eschweilera_albiflora,3.07,9.82
Eschweilera_amazonica,5.4,6.97
Eschweilera_apiculata,1.8,7.98
Eschweilera_atropetiolata,1.28,6.08
Eschweilera_coriacea,1.99,18.48
Eschweilera_eperuetorum,0.19,0
Eschweilera_gigantea,0.45,1.43
Eschweilera_grandiflora,1.82,8.55
Eschweilera_juruensis,1.51,2.63
Eschweilera_ovalifolia,1.46,8.58
Eschweilera_parviflora,0.9,12.23
Eschweilera_pedicellata,2.7,15.82
Eschweilera_piresii,0.48,0
Eschweilera_pseudodecolorans,3.57,2.86
Eschweilera_roraimensis,1,0.1
Eschweilera_sagotiana,1.02,7.86
Eschweilera_subglandulosa,0.92,8.18
Eschweilera_tessmannii,0.97,3.81
Eschweilera_wachenheimii,0.72,7.28
Esenbeckia_amazonica,0.97,3.54
Esenbeckia_kallunkiae,6.65,0.01
Esenbeckia_pilocarpoides,4.98,64
Eucharis_cyaneosperma,0.92,5.89
Eugenia_acrensis,2.41,4.53
Eugenia_albicans,0.21,4.32
Eugenia_anastomosans,1.21,10.51
Eugenia_argyrophylla,0.07,1.15
Eugenia_atrosquamata,1.04,0.1
Eugenia_baileyi,0.37,6.39
Eugenia_biflora,4,22.63
Eugenia_breviracemosa,0,0.28
Eugenia_brownsbergii,1.47,0
Eugenia_chartacea,8.18,0
Eugenia_chrysophyllum,0.78,5.81
Eugenia_citrifolia,3.54,9.24
Eugenia_conduplicata,0.8,0.94
Eugenia_cribrata,3.28,2.29
Eugenia_cucullata,0.36,11.12
Eugenia_cupulata,3.18,13.69
Eugenia_curvivenia,4.69,0
Eugenia_denigrata,1.26,0.94
Eugenia_diplocampta,2.23,4.44
Eugenia_eurycheila,0.68,1.04
Eugenia_excelsa,0.83,6.63
Eugenia_ferreiraeana,3.39,9.44
Eugenia_flavescens,5.14,16.57
Eugenia_gerdae,0,0
Eugenia_gomesiana,1.87,12.73
Eugenia_heterochroma,1.3,2.83
Eugenia_kaieteurensis,0.62,5.47
Eugenia_limbosa,2,10.18
Eugenia_magna,0.03,1.33
Eugenia_marowynensis,1.5,6.34
Eugenia_mimus,0.78,4.23
Eugenia_multirimosa,0.75,2.7
Eugenia_ochrophloea,1.14,3.76
Eugenia_pachystachya,6.63,23.84
Eugenia_patrisii,1.97,16.71
Eugenia_polystachya,4.98,16.54
Eugenia_pseudopsidium,2.32,12.58
Eugenia_ramiflora,4.27,4.31
Eugenia_roseiflora,0.47,4.26
Eugenia_stictopetala,5.73,8.19
Eugenia_tenuimarginata,1.8,1.08
Eugenia_wentii,1.45,13.9
Eugenia_wullschlaegeliana,0.12,1.18
Euphorbia_hirta,3.29,3.8
Euphorbia_hypericifolia,4.08,3.78
Euphorbia_lasiocarpa,4.97,3.78
Euphorbia_thymifolia,1.77,13.42
Euphronia_acuminatissima,0.6,0.17
Euterpe_longibracteata,7.29,6.81
Euterpe_oleracea,2.97,2.8
Euterpe_precatoria,1.85,17.06
Evodianthus_funifer,0.86,8.06
Evolvulus_filipes,4.07,7.63
Evolvulus_sericeus,3.52,9.34
Excentradenia_propinqua,0.11,0
Exellodendron_barbatum,1.67,8.72
Exellodendron_coriaceum,1.18,7.85
Faramea_acuminatissima,1.42,0
Faramea_angustifolia,0.86,3.72
Faramea_anisocalyx,1.41,11.86
Faramea_axillaris,0.53,5.2
Faramea_corymbosa,3.15,15.83
Faramea_costata,0.26,0
Faramea_egregia,0.24,3.73
Faramea_exemplaris,0.03,0.02
Faramea_fanshawei,0.29,0
Faramea_glandulosa,0.85,5.79
Faramea_guianensis,0.13,1.67
Faramea_irwinii,0.06,1.18
Faramea_juruana,2.05,8.24
Faramea_multiflora,2.15,18.39
Faramea_orinocensis,1.99,0.92
Faramea_panurensis,2.43,0
Faramea_parvibractea,0.34,2.49
Faramea_pedunculata,0.03,0
Faramea_phyllonomoides,1.44,2.25
Faramea_polytriadophora,4.32,0
Faramea_quinqueflora,0.93,7.57
Faramea_sessiliflora,4.7,11.25
Faramea_singularis,2.43,0
Faramea_stenopetala,0.79,0.01
Faramea_uniflora,0.16,1.73
Faramea_verticillata,1.71,0.08
Ferdinandusa_elliptica,4.66,8.96
Ferdinandusa_goudotiana,0.36,7.62
Ferdinandusa_lanceolata,4.5,0
Ferdinandusa_loretensis,1.66,6.24
Ferdinandusa_neblinensis,0.27,0.45
Ferdinandusa_paraensis,4.09,7.67
Ferdinandusa_schultesii,0.15,0
Ferdinandusa_uaupensis,1.95,11.53
Fevillea_cordifolia,1.86,12.14
Fevillea_pedatifolia,2.25,2.52
Ficus_americana,2.33,15.46
Ficus_aripuanensis,9.16,7.89
Ficus_brevibracteata,0.15,0.3
Ficus_broadwayi,0.72,30.69
Ficus_casapiensis,1.22,5.06
Ficus_castellviana,3.5,13.84
Ficus_catappifolia,2.44,5.7
Ficus_gomelleira,3.3,16.93
Ficus_insipida,2.57,13.84
Ficus_macbridei,1.1,5.65
Ficus_malacocarpa,2.86,2
Ficus_maxima,2.18,15.24
Ficus_mollicula,1.13,0.22
Ficus_obtusifolia,2.86,11.69
Ficus_pakkensis,2.83,6.08
Ficus_pallida,1.43,2.37
Ficus_panurensis,0.33,6.17
Ficus_paraensis,2.05,20.83
Ficus_piresiana,0.67,8.62
Ficus_roraimensis,1.05,0.01
Ficus_schippii,0.57,3.31
Ficus_sphenophylla,1.81,6.44
Ficus_tonduzii,0.8,4.84
Ficus_trigonata,2.93,5.32
Ficus_yoponensis,0.94,4.5
Ficus_ypsilophlebia,2.42,3.31
Fimbristylis_aspera,0.7,0.01
Fimbristylis_vahlii,0.77,2.47
Fleischmannia_microstemon,1.21,8.54
Floscopa_peruviana,1.2,12.61
Floscopa_robusta,0.88,4.14
Forsteronia_umbellata,2.44,0.01
Fridericia_conjugata,2.45,7.32
Fridericia_florida,3,13.11
Fridericia_lauta,9.52,3.13
Fridericia_ornithophila,9.22,5.75
Fridericia_patellifera,4.93,8.42
Fridericia_pearcei,4.53,2.03
Fridericia_pubescens,3.75,5.13
Fridericia_schumanniana,3.08,9.53
Fridericia_trailii,2.29,7.8
Fridericia_tuberculata,5,10.34
Froelichia_sericea,2.43,0
Froesiochloa_boutelouoides,1.42,0
Fusaea_longifolia,2.32,17
Fusispermum_laxiflorum,0.34,0.93
Fusispermum_rubrolignosum,0.17,5.22
Galactia_jussiaeana,4.75,3.44
Galactia_striata,4.55,2.86
Galactophora_crassifolia,1.78,8.57
Galipea_congestiflora,9.73,3.14
Gallesia_integrifolia,5.48,5.71
Garcinia_benthamiana,0.11,4.59
Gaulettia_canomensis,1.42,3.45
Gaulettia_elata,0,0.81
Gaya_scopulorum,1.37,0.01
Geissanthus_ambigua,1.78,1.94
Geissanthus_longistamineus,0.16,1.28
Geissanthus_quindiensis,0.16,0.07
Geissospermum_reticulatum,4,6.94
Genipa_americana,2.93,22.12
Genlisea_guianensis,0.49,2.41
Genlisea_pygmaea,1.55,1.32
Genlisea_repens,0.33,1.47
Geogenanthus_poeppigii,3.53,3.77
Geonoma_baculifera,2.34,12.21
Geonoma_brongniartii,1.65,4.5
Geonoma_laxiflora,1.27,1.2
Geonoma_leptospadix,1.47,11.2
Geonoma_maxima,1.49,14.46
Geonoma_occidentalis,8.91,2.85
Geonoma_oldemanii,0.27,1.37
Geonoma_oligoclona,0.29,0.2
Geonoma_stricta,1.36,11.42
Geophila_cordifolia,2.3,17.84
Geophila_gracilis,1.63,8.43
Geophila_macropoda,1.44,8.51
Geophila_orbicularis,0.19,5.39
Glandonia_macrocarpa,0.79,2.68
Glinus_radiatus,3.72,8.3
Gloeospermum_equatoriense,0.15,1.72
Glycydendron_amazonicum,2.44,16.51
Gnetum_nodiflorum,1.74,11.87
Gnetum_paniculatum,0.84,10.24
Gnetum_schwackeanum,0.42,3.1
Gnetum_venosum,4.67,5.5
Godmania_aesculifolia,3.57,8.41
Goeppertia_acuminata,0.1,0.42
Goeppertia_cannoides,1.71,17.17
Goeppertia_capitata,0.94,0.03
Goeppertia_granvillei,0.18,0
Goeppertia_panamensis,42.22,0
Goeppertia_propinqua,1.15,0
Goeppertia_standleyi,0.19,0.11
Goeppertia_zingiberina,5.96,10.91
Gongora_quinquenervis,1.37,6
Gongylolepis_martiana,0.77,0.29
Gongylolepis_oblanceolata,1.53,2.75
Gongylolepis_paniculata,0.53,2.93
Gonolobus_parviflorus,0.71,2
Gonzalagunia_surinamensis,0.15,8.26
Goodallia_guianensis,1.17,0.97
Gouania_lupuloides,1.66,11.87
Gouania_polygama,1.52,9.81
Gouania_trichodonta,1.65,7.95
Goupia_glabra,2.31,15.45
Graffenrieda_caryophyllea,0.34,4.52
Graffenrieda_cucullata,1.15,4.03
Graffenrieda_fantastica,0.75,0.48
Graffenrieda_galeottii,0.41,4.46
Graffenrieda_gracilis,1.16,4.35
Graffenrieda_miconioides,0.66,3.19
Graffenrieda_rupestris,0.63,1.24
Grias_neuberthii,0.37,2.49
Guadua_chaparensis,2.75,0
Guadua_latifolia,0.19,3.96
Guadua_maculosa,16.21,0
Guadua_paniculata,7,8.63
Guadua_sarcocarpa,2.34,3.18
Guadua_weberbaueri,1.39,2.96
Guapira_venosa,8.25,5.43
Guarea_carapoides,0.48,0.58
Guarea_cristata,0.32,0.34
Guarea_ecuadoriensis,0.03,1.02
Guarea_fissicalyx,0.07,2.25
Guarea_guidonia,2.84,21.95
Guarea_juglandiformis,3.76,3.19
Guarea_pterorhachis,1.06,6.3
Guarea_riparia,0,0.71
Guarea_scabra,2.19,13.5
Guarea_velutina,1.2,4.18
Guatteria_blepharophylla,3.52,16.72
Guatteria_conspicua,0.36,2.76
Guatteria_discolor,2.84,11.9
Guatteria_elata,1.48,1.12
Guatteria_eriopoda,2.78,0
Guatteria_eugeniifolia,3.67,0
Guatteria_friesiana,0.95,1.2
Guatteria_heteropetala,0.34,0.49
Guatteria_inundata,1.09,4.43
Guatteria_liesneri,1.06,8.42
Guatteria_megalophylla,2.49,12.76
Guatteria_meliodora,2.63,1.5
Guatteria_monticola,0.21,8.2
Guatteria_ouregou,0.16,0.76
Guatteria_pachyphylla,0.63,0.67
Guatteria_pastazae,0.03,2.58
Guatteria_punctata,2.13,19.9
Guatteria_ramiflora,0,3.08
Guatteria_sabuletorum,2.95,0.01
Guatteria_scalarinervia,0.16,0.97
Guatteria_scandens,2.88,5.05
Guatteria_schomburgkiana,3.25,18.54
Guatteria_scytophylla,2.97,17.25
Guatteria_stenopetala,0.67,0.46
Guatteria_subsessilis,2.14,11.5
Guatteria_ucayalina,1.09,14.63
Guatteria_wokomungensis,0.09,0.02
Guazuma_crinita,1.86,7.94
Guettarda_aromatica,1.96,8.03
Guettarda_divaricata,3.81,3.03
Guettarda_ferox,0.23,0
Guettarda_hoffmannseggii,2.43,0
Guettarda_macrantha,0.23,3.84
Gurania_bignoniacea,3.22,19.98
Gurania_brevipedunculata,0.4,0
Gurania_eriantha,2.08,9.72
Gurania_huebneri,1.66,4.03
Gurania_insolita,1.51,0.01
Gurania_lignosa,2.43,0
Gurania_malacophylla,2.43,0
Gurania_multiflora,12.11,3.94
Gurania_sinuata,6.45,5.19
Gurania_spruceana,1.09,1.19
Gurania_velutina,2.43,0
Gurania_villosa,2.43,0
Gustavia_elliptica,3.45,3.69
Gustavia_hexapetala,1.86,14.48
Gustavia_macarenensis,1,1.46
Gustavia_pulchra,0.92,0.82
Gustavia_terminaliflora,0,0
Guzmania_lingulata,1.35,11.16
Guzmania_patula,0.41,1
Gymnocoronis_spilanthoides,2.74,2.88
Gymnosiphon_breviflorus,0.2,4.31
Gymnosiphon_capitatus,0.75,0.01
Gymnosiphon_divaricatus,1.13,12.64
Gynerium_sagittatum,2.41,15.13
Habenaria_alterosula,0.02,0.23
Habenaria_heptadactyla,6.58,0.11
Habenaria_hexaptera,7.44,0.72
Habenaria_huberi,0.95,0
Habenaria_obtusa,3.58,3.62
Habenaria_repens,3.37,2.63
Habenaria_roraimensis,0.48,0.31
Habenaria_schwackei,3.39,0.66
Habenaria_sylvicultrix,1.01,0.01
Habenaria_trifida,3.21,7
Haematostemon_guianensis,0,0
Hamelia_axillaris,2.13,5.18
Handroanthus_barbatus,1.7,10.23
Handroanthus_impetiginosus,8.84,12.2
Handroanthus_serratifolius,5.09,20.16
Handroanthus_subtilis,0.62,0.61
Handroanthus_uleanus,4.27,3.24
Haploclathra_grandiflora,0.03,0.02
Haploclathra_paniculata,0.58,13.53
Haydenia_urbaniana,2.34,2.7
Hebeclinium_macrophyllum,2.84,17.81
Hebepetalum_humiriifolium,1.92,12.39
Hebepetalum_neblinae,0.21,0.73
Hebepetalum_roraimense,0.94,8.69
Heisteria_acuminata,1.73,17.44
Heisteria_amazonica,0,0.23
Heisteria_densifrons,3.56,16.07
Heisteria_huberiana,1.04,0
Heisteria_insculpta,0.59,1.32
Heisteria_latifolia,0.22,1.91
Heisteria_laxiflora,3.94,4.78
Heisteria_nitida,2.73,9.04
Heisteria_ovata,4.24,17.76
Heisteria_pentandra,1.93,0.54
Heisteria_spruceana,2,10.63
Helanthium_tenellum,11.77,0
Helianthostylis_steyermarkii,0.15,0.55
Heliconia_apparicioi,1.11,2.75
Heliconia_episcopalis,2.69,8.37
Heliconia_hirsuta,2.97,20.51
Heliconia_lourteigiae,0.42,6.15
Heliconia_marginata,2.44,9.09
Heliconia_psittacorum,4.29,18.94
Heliconia_richardiana,1.06,4.95
Helicostylis_elegans,1.19,8.48
Helicostylis_scabra,1.61,7.6
Helicotropis_linearis,1,14.76
Helicteres_brevispira,7.94,6.39
Helicteres_guazumifolia,4.18,6.02
Helmontia_cardiophylla,0.08,0
Helmontia_leptantha,1.18,8.32
Helosis_cayennensis,2.16,77.18
Henriettea_horridula,1.06,1.06
Henriettea_lasiostylis,0.54,0.96
Henriettea_lawrancei,0.3,2.49
Henriettea_martiusii,0.42,1.32
Henriettea_mucronata,0.41,0.51
Henriettea_odorata,0.11,0.29
Henriettea_prancei,5.26,0
Henriettea_ramiflora,1.41,9.93
Henriettea_stellaris,0.96,10.56
Henriettea_sylvestris,2.65,17.9
Herrania_camargoana,0.32,0.02
Herrania_kanukuensis,0.67,7.63
Herrania_lemniscata,0.5,6.73
Herrania_nitida,0.93,2.95
Herrania_nycterodendron,1.13,3.94
Heteropsis_longispathacea,1.07,1.79
Heteropsis_macrophylla,0.62,2.08
Heteropsis_melinonii,0.36,0
Heteropsis_reticulata,0.12,0
Heteropsis_spruceana,0.62,2.06
Heteropsis_steyermarkii,0.29,3.29
Heteropsis_tenuispadix,2.36,15.18
Heteropterys_ciliata,2.43,0
Heteropterys_cristata,0.73,39.14
Heteropterys_huberi,0,0
Heteropterys_macradena,1.66,3.4
Heteropterys_magnifica,0.24,0
Heteropterys_multiflora,0.63,0
Heteropterys_orinocensis,2.83,12.49
Heteropterys_siderosa,0.85,4.31
Heteropterys_velutina,0,0.01
Heterostemon_conjugatus,1.46,0.27
Heterostemon_impar,1.08,0
Heterostemon_otophorus,0.03,0.01
Hevea_camargoana,0,1.58
Hevea_guianensis,1.34,17.29
Hevea_microphylla,1.18,7.66
Hevea_pauciflora,0.64,8.81
Hevea_spruceana,1.82,1.86
Hibiscus_bifurcatus,2.72,9.1
Hibiscus_peruvianus,1.12,3.68
Hieronyma_alchorneoides,2.35,19.5
Hilleria_latifolia,3.78,3.47
Hillia_illustris,1.05,11.06
Hillia_macromeris,0.18,1.42
Hillia_macrophylla,0.67,2.11
Hillia_ulei,2.29,9.21
Himatanthus_articulatus,3.99,18.89
Himatanthus_obovatus,12.67,3.09
Hippeastrum_puniceum,4.4,10.19
Hippocratea_volubilis,2.76,18.51
Hippotis_brevipes,1.21,2.5
Hippotis_subelongata,1.22,0
Hippotis_tubiflora,1.95,1.98
Hiraea_fagifolia,2.34,18.94
Hiraea_faginea,1.22,7.8
Hirtella_adderleyi,0.62,0.18
Hirtella_araguariensis,0.4,12.05
Hirtella_arenosa,8.81,7.28
Hirtella_bicornis,3.15,17.92
Hirtella_ciliata,8.34,4.78
Hirtella_couepiiflora,2.11,0
Hirtella_deflexa,0.23,2.18
Hirtella_elongata,0.61,5.64
Hirtella_eriandra,2.32,10.8
Hirtella_glandistipula,3.02,0
Hirtella_glandulosa,6.01,11.39
Hirtella_gracilipes,10.24,5.48
Hirtella_guainiae,0.62,1.97
Hirtella_guyanensis,0,1.88
Hirtella_hispidula,3.28,18.46
Hirtella_lancifolia,1.53,0.01
Hirtella_lightioides,3.27,1.39
Hirtella_longipedicellata,0.62,0.52
Hirtella_macrophylla,2.57,13.71
Hirtella_margae,0.1,1.03
Hirtella_orbicularis,0.38,0
Hirtella_piresii,4.78,27.52
Hirtella_punctillata,0.23,6.53
Hirtella_rasa,3.65,4.63
Hirtella_revillae,0.24,0.11
Hirtella_scabra,0.46,5.14
Hirtella_silicea,0.18,4.62
Hirtella_standleyi,0.49,0
Hirtella_subglanduligera,0,0
Hirtella_tentaculata,4.13,4.43
Hoffmannia_viridis,0.03,2.24
Homalium_guianense,4.34,17.03
Homalomena_picturata,0.93,4.2
Homolepis_aturensis,2.28,12.43
Hortia_excelsa,2.95,8.43
Hortia_longifolia,5.77,4.2
Hortia_superba,2,1.23
Hortia_vandelliana,0.11,0.17
Houssayanthus_monogynus,4.91,0.43
Huberodendron_swietenioides,2.18,7.28
Huertea_glandulosa,0.83,3.33
Humiria_balsamifera,3.15,18.34
Humiria_wurdackii,0.42,1.56
Humiriastrum_diguense,0.32,0.21
Humiriastrum_obovatum,0.42,4.65
Humiriastrum_subcrenatum,0.13,0.59
Hura_crepitans,2.49,12.7
Hydrochorea_gonggrijpii,1.12,10.62
Hydrocotyle_acuminata,10.67,0.29
Hydrolea_elatior,6.01,3
Hygrophila_guianensis,4.2,9.8
Hylenaea_comosa,1.05,8.97
Hylocarpa_heterocarpa,14.38,0.08
Hylocereus_setaceus,5.72,0.8
Hymenaea_courbaril,4.48,12.55
Hymenaea_intermedia,3.3,7.46
Hymenaea_oblongifolia,2.86,12.36
Hymenaea_parvifolia,4.02,10.46
Hymenocallis_tubiflora,0.2,4.74
Hymenolobium_excelsum,4.8,10
Hymenolobium_flavum,0.39,2.41
Hymenolobium_nitidum,2.2,6.67
Hymenolobium_pulcherrimum,1.8,8.94
Hypolytrum_laxum,4.14,3.96
Hypolytrum_leptocalamum,0.63,0
Hypolytrum_longifolium,1.87,13.55
Hypolytrum_pulchrum,1.46,8.52
Hypolytrum_sphaerostachyum,1.34,7.45
Hypolytrum_spongiosum,0.3,2.27
Hypolytrum_strictum,1.35,1.3
Hypolytrum_sylvaticum,0.99,3.49
Hyptis_capitata,1.81,3.79
Hyptis_dilatata,0.9,1.56
Hyptis_hirsuta,3.88,7.81
Hyptis_hispida,2.43,0
Hyptis_lantanifolia,2.46,18.44
Hyptis_lorentziana,5.13,5.45
Hyptis_microphylla,5.19,6.39
Ichnanthus_calvescens,4.98,14.18
Ichnanthus_ephemeroblepharis,0.26,2.14
Ichnanthus_hoffmannseggii,9.05,2.84
Ilex_casiquiarensis,0.53,13.54
Ilex_divaricata,0.7,5.08
Ilex_gabrielleana,0.02,1.33
Ilex_jenmanii,0.77,6.89
Ilex_laureola,0.44,8.95
Ilex_martiniana,0.2,3.01
Ilex_neblinensis,0.01,0.54
Ilex_petiolaris,3.59,4.62
Ilex_vismiifolia,1.03,4.83
Imeria_memorabilis,0.25,0.14
Inga_adenophylla,2.18,5.18
Inga_alba,3.09,19.94
Inga_auristellae,1.68,7.45
Inga_bourgonii,1.58,16.59
Inga_brevipes,6.72,0.08
Inga_bullatorugosa,13.85,21.26
Inga_cecropietorum,2.46,2.52
Inga_ciliata,1,3.54
Inga_coruscans,1.33,4.29
Inga_disticha,3.64,14.07
Inga_edulis,2.56,20.86
Inga_expansa,1.69,0.6
Inga_flagelliformis,3.92,12.74
Inga_graciliflora,0.89,5.76
Inga_gracilifolia,1.57,9.21
Inga_grandiflora,3.76,7.35
Inga_huberi,3.93,12.28
Inga_ingoides,3.82,19.77
Inga_killipiana,1.72,0.51
Inga_klugii,1.64,0.28
Inga_lateriflora,3.4,15.29
Inga_laurina,3.28,19.78
Inga_lineata,1.01,5.14
Inga_lomatophylla,2.05,26.37
Inga_lopadadenia,3.24,5.45
Inga_macrophylla,1.93,11.83
Inga_marginata,2.64,18.05
Inga_multinervis,0.39,3.46
Inga_obidensis,2.6,7.39
Inga_obtusata,1.59,0.9
Inga_ornata,0.04,0.82
Inga_panurensis,2.83,2.01
Inga_paraensis,3.67,13.98
Inga_pezizifera,1.46,14.42
Inga_pilosula,2.75,14.64
Inga_poeppigiana,1.52,8.95
Inga_porcata,0,0.16
Inga_pruriens,0.82,4.57
Inga_punctata,1.93,12.78
Inga_rhynchocalyx,0.29,0
Inga_ruiziana,1,5.88
Inga_santaremnensis,11.02,4.34
Inga_sapindoides,0.68,6.06
Inga_setosa,1.45,4.17
Inga_splendens,2.6,16.31
Inga_stenoptera,1.87,18.06
Inga_stipularis,1.81,8.49
Inga_suberosa,2.8,1.33
Inga_tessmannii,1.05,2.4
Inga_thibaudiana,3.8,20.37
Inga_tocacheana,1.18,2.13
Inga_ulei,2.3,13.56
Inga_umbellifera,2.29,9.65
Inga_umbratica,1.89,13.85
Inga_velutina,2.86,12.52
Inga_villosissima,2.01,9.02
Inga_virgultosa,0.18,0
Inga_vismiifolia,1.53,3.11
Inga_xinguensis,3.93,5.91
Inga_yacoana,1.49,2.43
Ionopsis_satyrioides,3.03,1.82
Ipomoea_cuneifolia,13.14,1.39
Ipomoea_leprieurii,0.27,0
Ipomoea_philomega,2.25,17.72
Ipomoea_ramosissima,4.83,12.8
Ipomoea_regnellii,7.82,2.25
Ipomoea_subrevoluta,5.37,7.11
Iresine_diffusa,3.13,10.21
Iresine_poeppigiana,2.43,0
Irlbachia_nemorosa,1.39,3.65
Irlbachia_poeppigii,2.2,12.74
Irlbachia_pratensis,1.6,0.59
Iryanthera_coriacea,2.29,24.48
Iryanthera_crassifolia,0.57,1.46
Iryanthera_dialyandra,0.57,3.56
Iryanthera_elliptica,2.44,6.63
Iryanthera_laevis,1.88,11.35
Iryanthera_lancifolia,1.5,61.36
Iryanthera_macrophylla,1.63,11.08
Iryanthera_obovata,0.23,0.66
Iryanthera_paraensis,2,14.52
Iryanthera_polyneura,0.41,5.99
Iryanthera_tessmannii,0.94,8.07
Iryanthera_tricornis,0.33,2.84
Isachne_polygonoides,3.26,6.51
Ischnosiphon_gracilis,1.91,15.45
Ischnosiphon_martianus,1.07,14.3
Ischnosiphon_petiolatus,2.09,10.44
Ischnosiphon_puberulus,1.91,14.25
Iseia_luxurians,6.23,6.06
Isertia_laevis,0.91,4.21
Isertia_parviflora,1.12,7.88
Isertia_rosea,0.92,3.88
Isochilus_linearis,1.07,7.98
Itaya_amicorum,0.11,0.38
Ixora_acuminatissima,1.2,3.09
Ixora_aluminicola,0.16,2.31
Ixora_cowanii,2.43,0
Ixora_graciliflora,0.12,2.52
Ixora_killipii,0.81,4.9
Ixora_panurensis,1.05,16.71
Ixora_richardiana,2.43,0
Ixora_rufa,4.76,5.06
Ixora_schomburgkiana,0.19,0.49
Ixora_spruceana,2.37,4.74
Ixora_ulei,0.65,3.7
Ixora_yavitensis,0.74,0.48
Jablonskia_congesta,0.98,31.72
Jacaranda_copaia,2.91,20.44
Jacaranda_glabra,2.67,8.74
Jacaranda_macrocarpa,0.29,0.19
Jacquemontia_blanchetii,4.68,4.22
Jacquemontia_guyanensis,1.23,9.22
Jacquemontia_sphaerostigma,1.13,7.04
Jacqueshuberia_purpurea,0.31,1.44
Jacquiniella_globosa,0.57,6.73
Janusia_prancei,2.07,0
Jasarum_steyermarkii,0.87,0.89
Jatropha_gossypiifolia,2.61,16.84
Jenmaniella_fimbriata,3.48,0.92
Jenmaniella_tridactylitifolia,0,0.01
Joannesia_heveoides,4.75,4.86
Joosia_dichotoma,2.26,1.96
Joosia_longisepala,0,0
Joosia_obtusa,0.07,0
Juanulloa_parviflora,2.43,0
Justicia_amazonica,16.21,0
Justicia_calycina,2.27,8.39
Justicia_fittonioides,2.43,0
Justicia_lineolata,3.2,5.7
Justicia_polygonoides,0.36,7.5
Justicia_rhomboidea,4.56,0
Justicia_rusbyi,3.07,3.25
Justicia_ulei,4.62,0.98
Justicia_yurimaguensis,2.16,2.3
Klarobelia_cauliflora,0.06,1.4
Klarobelia_inundata,0.28,1.83
Klarobelia_pumila,3.54,2.06
Koellensteinia_kellneriana,0.22,6.19
Krameria_spartioides,9,2.99
Kutchubaea_duckei,1.33,0
Kutchubaea_micrantha,0.04,0.1
Kutchubaea_surinamensis,0.32,0
Kyllinga_pumila,2.42,10.96
Lacistema_aggregatum,2.78,21.98
Lacistema_grandifolium,2.95,11.23
Lacistema_krukovii,0.9,1.89
Lacmellea_densifoliata,4.92,0.24
Lacmellea_macrantha,0,0.01
Lacmellea_ramosissima,0.96,2.69
Lacunaria_crenata,2.39,16.79
Lacunaria_jenmanii,1.82,10.62
Lacunaria_macrostachya,2.62,7.96
Lacunaria_sampaioi,0,0.01
Ladenbergia_acutifolia,2.62,4.03
Ladenbergia_carua,2.22,4.49
Ladenbergia_discolor,2.27,0.93
Ladenbergia_ferruginea,2.94,0.01
