species,group,Exposure
Acronia_solomonii,Plants,62.24458829
Acronia_tryssa,Plants,1.070131264
Acroporium_guianense,Plants,1.025143643
Acroporium_longirostre,Plants,0.551328907
Acroporium_pungens,Plants,0.885658797
Acropternis_orthonyx,Birds,0.11285529
Acroschisma_andensis,Plants,7.503722505
Acrostichum_danaeifolium,Plants,1.40657994
Actinocephalus_glareosus,Plants,0.956435368
Actinocephalus_ochrocephalus,Plants,0.866870767
Actinodontium_sprucei,Plants,3.062525662
Actinoseris_polyphylla,Plants,2.304921065
Actinostachys_subtrijuga,Plants,1.243316193
Actinostemon_amazonicus,Plants,0.863949204
Actinostemon_concolor,Plants,0.864718412
Actinostemon_echinatus,Plants,1.361527631
Actinostemon_gardneri,Plants,1.253478228
Actinostemon_klotzschii,Plants,1.110703576
Actinostemon_lagoensis,Plants,2.304921065
Actinostemon_lundianus,Plants,1.500426047
Actinostemon_mandiocanus,Plants,2.304921065
Actinostemon_schomburgkii,Plants,1.474091829
Actinostemon_sparsifolius,Plants,2.304921065
Actinostemon_verrucosum,Plants,2.304921065
Actinostemon_verticillatus,Plants,1.200522602
Actitis_macularius_N,Birds,7.596873711
Adelanthus_pittieri,Plants,1.604163334
Adelastes_hylonomos,Amphibians,0.43749788
Adelia_triloba,Plants,0.411924536
Adelobotrys_acreana,Plants,3.065835473
Adelobotrys_adscendens,Plants,1.002993729
Adelobotrys_barbata,Plants,11.69846941
Adelobotrys_boissieriana,Plants,0.555682193
Adelobotrys_ciliata,Plants,1.83830685
Adelobotrys_klugii,Plants,0.641159745
Adelobotrys_linearifolia,Plants,0.243526756
Adelobotrys_permixta,Plants,0.842306426
Adelobotrys_praetexta,Plants,0.910862504
Adelobotrys_rachidotrichia,Plants,7.82079458
Adelobotrys_scandens,Plants,0.952417267
Adelobotrys_spruceana,Plants,0.527129744
Adelobotrys_stenophylla,Plants,0.791462894
Adelobotrys_tessmannii,Plants,0.666264759
Adelomyia_melanogenys,Birds,1.138894917
Adelonema_erythropus,Plants,2.304921065
Adelophryne_adiastola,Amphibians,0.220465087
Adelophryne_amapaensis,Amphibians,1.082144838
Adelophryne_gutturosa,Amphibians,0.694933495
Adelphobates_castaneoticus,Amphibians,1.674223748
Adelphobates_galactonotus,Amphibians,1.476217909
Adelphobates_quinquevittatus,Amphibians,0.612841416
Adenaria_floribunda,Plants,0.754561969
Adenocalymma_allamandiflorum,Plants,1.461864482
Adenocalymma_aurantiacum,Plants,0.522670101
Adenocalymma_axillare,Plants,0.671247412
Adenocalymma_bipinnatum,Plants,0.793806885
Adenocalymma_bracteolatum,Plants,1.265593116
Adenocalymma_bullatum,Plants,2.304921065
Adenocalymma_campicola,Plants,0.650474889
Adenocalymma_cladotrichum,Plants,0.991226727
Adenocalymma_comosum,Plants,5.062096607
Adenocalymma_croatii,Plants,0.859761874
Adenocalymma_dichilum,Plants,0.771639909
Adenocalymma_elegans,Plants,2.304921065
Adenocalymma_flaviflorum,Plants,1.188735614
Adenocalymma_foveolatum,Plants,2.304921065
Adenocalymma_fruticosum,Plants,4.734546368
Adenocalymma_fulgens,Plants,2.304921065
Adenocalymma_grandifolium,Plants,0.398308761
Adenocalymma_heterophyllum,Plants,1.587580549
Adenocalymma_juliae,Plants,1.511250622
Adenocalymma_nervosum,Plants,0.111368467
Adenocalymma_nodosum,Plants,0.652920428
Adenocalymma_obtusifolia,Plants,2.304921065
Adenocalymma_patulum,Plants,0.874276478
Adenocalymma_paucifoliolatum,Plants,0.776857607
Adenocalymma_pedunculatum,Plants,0.692369998
Adenocalymma_peregrinum,Plants,0.600322125
Adenocalymma_prancei,Plants,19.10641368
Adenocalymma_pseudopatulum,Plants,0.638865249
Adenocalymma_pubescens,Plants,0.658171071
Adenocalymma_purpurascens,Plants,0.661715756
Adenocalymma_saulense,Plants,5.490305148
Adenocalymma_schomburgkii,Plants,1.045532037
Adenocalymma_subincanum,Plants,1.145488595
Adenocalymma_uleanum,Plants,0.872463418
Adenocalymma_validum,Plants,1.251661045
Adenocalymna_purpurascens,Plants,0.72918717
Adenocalymna_uleanum,Plants,5.078068236
Adenolisianthus_arboreus,Plants,0.536384873
Adenomera_amicorum,Amphibians,1.900271276
Adenomera_andreae,Amphibians,0.983619007
Adenomera_aurantiaca,Amphibians,1.898770825
Adenomera_chicomendesi,Amphibians,0.662620306
Adenomera_coca,Amphibians,0.432333183
Adenomera_diptyx,Amphibians,1.422039485
Adenomera_glauciae,Amphibians,0.163516355
Adenomera_gridipappi,Amphibians,1.567786598
Adenomera_heyeri,Amphibians,1.606064369
Adenomera_hylaedactyla,Amphibians,0.981975424
